b_name,daq_time,wday,day_type,hour,temp,rh,p_usage
ABC,2022-05-01 0:15,2,3,1,17.6,96,293
ABC,2022-05-01 0:30,2,3,1,17.6,96,293
ABC,2022-05-01 0:45,2,3,1,17.6,96,293
ABC,2022-05-01 1:00,2,3,1,17.7,97,292
ABC,2022-05-01 1:15,2,3,2,17.7,97,288
ABC,2022-05-01 1:30,2,3,2,17.7,97,288
ABC,2022-05-01 1:45,2,3,2,17.7,97,290
ABC,2022-05-01 2:00,2,3,2,17.7,97,286
ABC,2022-05-01 2:15,2,3,3,17.7,97,283
ABC,2022-05-01 2:30,2,3,3,17.7,97,285
ABC,2022-05-01 2:45,2,3,3,17.7,97,293
ABC,2022-05-01 3:00,2,3,3,17.9,97,292
ABC,2022-05-01 3:15,2,3,4,17.9,97,303
ABC,2022-05-01 3:30,2,3,4,17.9,97,316
ABC,2022-05-01 3:45,2,3,4,17.9,97,322
ABC,2022-05-01 4:00,2,3,4,18.1,95,317
ABC,2022-05-01 4:15,2,3,5,18.1,95,318
ABC,2022-05-01 4:30,2,3,5,18.1,95,320
ABC,2022-05-01 4:45,2,3,5,18.1,95,320
ABC,2022-05-01 5:00,2,3,5,18,95,320
ABC,2022-05-01 5:15,2,3,6,18,95,312
ABC,2022-05-01 5:30,2,3,6,18,95,312
ABC,2022-05-01 5:45,2,3,6,18,95,313
ABC,2022-05-01 6:00,2,3,6,18,95,320
ABC,2022-05-01 6:15,2,3,7,18,95,315
ABC,2022-05-01 6:30,2,3,7,18,95,323
ABC,2022-05-01 6:45,2,3,7,18,95,317
ABC,2022-05-01 7:00,2,3,7,18.7,91,322
ABC,2022-05-01 7:15,2,3,8,18.7,91,321
ABC,2022-05-01 7:30,2,3,8,18.7,91,327
ABC,2022-05-01 7:45,2,3,8,18.7,91,320
ABC,2022-05-01 8:00,2,3,8,20.3,82,324
ABC,2022-05-01 8:15,2,3,9,20.3,82,324
ABC,2022-05-01 8:30,2,3,9,20.3,82,327
ABC,2022-05-01 8:45,2,3,9,20.3,82,333
ABC,2022-05-01 9:00,2,3,9,21.8,74,325
ABC,2022-05-01 9:15,2,3,10,21.8,74,320
ABC,2022-05-01 9:30,2,3,10,21.8,74,341
ABC,2022-05-01 9:45,2,3,10,21.8,74,351
ABC,2022-05-01 10:00,2,3,10,22.5,68,356
ABC,2022-05-01 10:15,2,3,11,22.5,68,351
ABC,2022-05-01 10:30,2,3,11,22.5,68,358
ABC,2022-05-01 10:45,2,3,11,22.5,68,366
ABC,2022-05-01 11:00,2,3,11,23.1,68,362
ABC,2022-05-01 11:15,2,3,12,23.1,68,366
ABC,2022-05-01 11:30,2,3,12,23.1,68,366
ABC,2022-05-01 11:45,2,3,12,23.1,68,368
ABC,2022-05-01 12:00,2,3,12,23.7,62,368
ABC,2022-05-01 12:15,2,3,13,23.7,62,362
ABC,2022-05-01 12:30,2,3,13,23.7,62,357
ABC,2022-05-01 12:45,2,3,13,23.7,62,357
ABC,2022-05-01 13:00,2,3,13,24,62,354
ABC,2022-05-01 13:15,2,3,14,24,62,354
ABC,2022-05-01 13:30,2,3,14,24,62,360
ABC,2022-05-01 13:45,2,3,14,24,62,364
ABC,2022-05-01 14:00,2,3,14,24.4,56,365
ABC,2022-05-01 14:15,2,3,15,24.4,56,364
ABC,2022-05-01 14:30,2,3,15,24.4,56,362
ABC,2022-05-01 14:45,2,3,15,24.4,56,370
ABC,2022-05-01 15:00,2,3,15,24.5,57,368
ABC,2022-05-01 15:15,2,3,16,24.5,57,367
ABC,2022-05-01 15:30,2,3,16,24.5,57,370
ABC,2022-05-01 15:45,2,3,16,24.5,57,371
ABC,2022-05-01 16:00,2,3,16,22.2,69,369
ABC,2022-05-01 16:15,2,3,17,22.2,69,366
ABC,2022-05-01 16:30,2,3,17,22.2,69,368
ABC,2022-05-01 16:45,2,3,17,22.2,69,363
ABC,2022-05-01 17:00,2,3,17,21.2,73,368
ABC,2022-05-01 17:15,2,3,18,21.2,73,364
ABC,2022-05-01 17:30,2,3,18,21.2,73,362
ABC,2022-05-01 17:45,2,3,18,21.2,73,362
ABC,2022-05-01 18:00,2,3,18,20.5,77,359
ABC,2022-05-01 18:15,2,3,19,20.5,77,362
ABC,2022-05-01 18:30,2,3,19,20.5,77,337
ABC,2022-05-01 18:45,2,3,19,20.5,77,330
ABC,2022-05-01 19:00,2,3,19,19.7,82,331
ABC,2022-05-01 19:15,2,3,20,19.7,82,332
ABC,2022-05-01 19:30,2,3,20,19.7,82,330
ABC,2022-05-01 19:45,2,3,20,19.7,82,325
ABC,2022-05-01 20:00,2,3,20,19.1,87,329
ABC,2022-05-01 20:15,2,3,21,19.1,87,331
ABC,2022-05-01 20:30,2,3,21,19.1,87,331
